GenbankNo	Accession	CopyNo	Start	End	Strand	Length
GCA_027286205.1	CP114738.1	operon_1	462430	472704	+	10275
GCA_000185245.1	CP002336.1	operon_1	1014367	1145719	-	131353
GCA_000185245.1	CP002336.1	operon_2	1343786	1377065	-	33280
GCA_011604805.1	CP050116.1	operon_1	156773	198462	-	41690
GCA_011604805.1	CP050116.1	operon_2	643248	811613	+	168366
GCA_000599625.1	CP007390.1	operon_1	4715033	4723387	+	8355
GCA_022921775.1	CP094070.1	operon_1	95409	130223	+	34815
GCA_022921775.1	CP094070.1	operon_2	1195128	1323029	-	127902
